subject,lab,model,nll
CSH_ZAD_007,zadorlab,long_history,0.2904032814602359
CSH_ZAD_007,zadorlab,outcome_history,0.31688419010696517
CSP001,angelakilab,combined_evidence,0.375968156398853
CSP001,angelakilab,combined_history,0.3755034554904425
CSP001,angelakilab,evidence_history,0.4698208922570032
CSP001,angelakilab,learning_evidence,0.47442857813440165
CSP001,angelakilab,learning_history,0.4765165019169936
CSP001,angelakilab,long_evidence,0.37991981863565666
CSP001,angelakilab,long_history,0.37999438602750474
CSP001,angelakilab,outcome_history,0.47174463974964537
CSP004,angelakilab,combined_evidence,0.3688978499903152
CSP004,angelakilab,combined_history,0.36995865542232576
CSP004,angelakilab,evidence_history,0.37155809509728177
CSP004,angelakilab,learning_evidence,0.36815179522691927
CSP004,angelakilab,learning_history,0.3702116984630136
CSP004,angelakilab,long_evidence,0.3686705089825418
CSP004,angelakilab,long_history,0.3698433947555895
CSP004,angelakilab,outcome_history,0.3734395946600591
CSP012,angelakilab,combined_evidence,0.38669541323797807
CSP012,angelakilab,combined_history,0.38670006146458796
CSP012,angelakilab,evidence_history,0.41702937807751417
CSP012,angelakilab,learning_evidence,0.4199069576127495
CSP012,angelakilab,learning_history,0.4204086748233348
CSP012,angelakilab,long_evidence,0.38806096754989194
CSP012,angelakilab,long_history,0.3882730668121624
CSP012,angelakilab,outcome_history,0.4171286345085499
CSP013,angelakilab,combined_evidence,0.34821095520653245
CSP013,angelakilab,combined_history,0.34874210293736363
CSP013,angelakilab,evidence_history,0.4015341592724492
CSP013,angelakilab,learning_evidence,0.4019579748333765
CSP013,angelakilab,learning_history,0.40415245329910926
CSP013,angelakilab,long_evidence,0.3506733988328549
CSP013,angelakilab,long_history,0.351544416015762
CSP013,angelakilab,outcome_history,0.40396825679700005
CSP015,angelakilab,combined_evidence,0.33378887244159733
CSP015,angelakilab,combined_history,0.33551383179769484
CSP015,angelakilab,evidence_history,0.35007883024952885
CSP015,angelakilab,learning_evidence,0.3400311800807686
CSP015,angelakilab,learning_history,0.34273640115335746
CSP015,angelakilab,long_evidence,0.3326379103010066
CSP015,angelakilab,long_history,0.3343978424409066
CSP015,angelakilab,outcome_history,0.3527227971765447
CSP028,angelakilab,combined_evidence,0.2754665185412242
CSP028,angelakilab,combined_history,0.2750039693797806
CSP028,angelakilab,evidence_history,0.30191618392321684
CSP028,angelakilab,learning_evidence,0.29779483496069303
CSP028,angelakilab,learning_history,0.29775331882398104
CSP028,angelakilab,long_evidence,0.27624789079817635
CSP028,angelakilab,long_history,0.27588644665828893
CSP028,angelakilab,outcome_history,0.3019140471992737
CSP029,angelakilab,combined_evidence,0.29990910481425836
CSP029,angelakilab,combined_history,0.2999900670988036
CSP029,angelakilab,evidence_history,0.3077450029348514
CSP029,angelakilab,learning_evidence,0.30869725942887705
CSP029,angelakilab,learning_history,0.3085175467380364
