condition,seed,epoch,epoch_choice_loss,epoch_rt_loss,epoch_soft_rt_penalty,epoch_history_penalty,epoch_history_supervision,epoch_per_trial_history,epoch_history_distillation,epoch_reward_prediction,epoch_drift_supervision,epoch_non_decision_supervision,epoch_drift_magnitude,epoch_wfpt_loss,epoch_twin_supervision,epoch_adaptive_control_regularization,epoch_evidence_preservation,history_teacher_alpha,mean_plastic_stay_tendency,mean_win_stay_tendency,mean_lose_stay_tendency,noise,mean_bound
raw_no_control,42,1,0.478104343068899,21.76085766850655,0.0,0.0,0.0,0.0,0.0,0.21333812931591498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03281859455571245,0.08964409473328754,0.9960644841194153,1.1915453577041626
raw_no_control,42,2,0.46951624171255024,21.66609282386353,0.0,0.0,0.0,0.0,0.0,0.16821424394970658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07101251080507513,0.11979644904575587,1.0054877996444702,1.1858907675743102
raw_no_control,42,3,0.45087052644795456,21.64418618019405,0.0,0.0,0.0,0.0,0.0,0.15419466204348967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09035202594294707,0.1146155918430085,1.0213258266448975,1.1635964012145996
raw_no_control,42,4,0.4216136476921237,21.69889580084315,0.0,0.0,0.0,0.0,0.0,0.15047595098957606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11987480468206325,0.15596297221203728,1.02350914478302,1.1891615772247315
raw_no_control,42,5,0.4382270297433043,21.63358990891708,0.0,0.0,0.0,0.0,0.0,0.15222369608270572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09478730633543127,0.10439940947244357,1.036238431930542,1.154509744644165
raw_no_control,42,6,0.4347983257354054,21.46333533862146,0.0,0.0,0.0,0.0,0.0,0.15025835821724587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006614153604627,0.07377389600212104,1.0396479368209839,1.1270288228988647
raw_full_control,42,1,0.43780018071250437,21.852122009735726,0.0,0.0,0.0,0.0,0.0,0.21501893858779922,0.0,0.0,0.0,0.0,0.0,0.009871636593332475,0.0005457536662026663,0.0,0.11780788910002389,0.0009665489260708352,0.03985369077034413,0.9828956127166748,1.24613774061203
raw_full_control,42,2,0.43038259197229123,21.72466489248695,0.0,0.0,0.0,0.0,0.0,0.16407916139982734,0.0,0.0,0.0,0.0,0.0,0.011511271344069157,0.0006418091874685583,0.0,0.11730394485137702,-0.013222039045929659,0.07157317030722875,0.9911065697669983,1.2235306358337403
raw_full_control,42,3,0.4276541091470539,21.610668146772365,0.0,0.0,0.0,0.0,0.0,0.15270343756451268,0.0,0.0,0.0,0.0,0.0,0.011191749596524064,0.0006214048333269268,0.0,0.11676636409154746,-0.016570233057799096,0.05789787576350707,1.00125253200531,1.2187853455543518
raw_full_control,42,4,0.41037009085945503,21.66093758291031,0.0,0.0,0.0,0.0,0.0,0.15031482849005126,0.0,0.0,0.0,0.0,0.0,0.01230565602910631,0.0006874074541308984,0.0,0.11660671414939928,0.008452878094221773,0.01859280829698775,1.0006623268127441,1.246689531803131
raw_full_control,42,5,0.4196555739167345,21.619211982171905,0.0,0.0,0.0,0.0,0.0,0.15438840120532024,0.0,0.0,0.0,0.0,0.0,0.013639370073022702,0.0007390095820654356,0.0,0.11577828618148381,-0.007213836534045711,0.04335259064691283,1.0111732482910156,1.2181888151168823
raw_full_control,42,6,0.4202147117469101,21.3832346871807,0.0,0.0,0.0,0.0,0.0,0.15009015493063746,0.0,0.0,0.0,0.0,0.0,0.010245148891341488,0.0005662983881794774,0.0,0.11444400688126746,0.008290395678459885,0.044499318666802914,1.0241482257843018,1.1648609375953674
choice_only_full_control,42,1,0.4229036388474528,22.060637742873265,0.0,0.0,0.0,0.0,0.0,0.20507203849913186,0.0,0.0,0.0,0.0,0.0,0.012357560163714521,0.0006750256934195414,0.0,0.11844120795008528,0.025481076386005122,0.03080320947367121,1.0777169466018677,0.9915102124214172
choice_only_full_control,42,2,0.40251565116718724,22.42988344136953,0.0,0.0,0.0,0.0,0.0,0.15161681519704384,0.0,0.0,0.0,0.0,0.0,0.010836460877007272,0.0006030420779428838,0.0,0.11665705941368097,0.04420975259813055,0.03146572366905317,1.1292312145233154,0.9072096335887909
choice_only_full_control,42,3,0.38927313005824465,22.403224693151447,0.0,0.0,0.0,0.0,0.0,0.15109574518100238,0.0,0.0,0.0,0.0,0.0,0.009270395189289892,0.000516046061561439,0.0,0.11467730228995679,0.04190438676422859,0.043933142155845296,1.1597864627838135,0.8625560259819031
choice_only_full_control,42,4,0.3832149819848926,22.508509386517886,0.0,0.0,0.0,0.0,0.0,0.15078360833632895,0.0,0.0,0.0,0.0,0.0,0.008251267953904415,0.0004589345019868922,0.0,0.11017366544690342,0.06993326928201579,0.05998329969442539,1.1607435941696167,0.8771216154098511
choice_only_full_control,42,5,0.38509043851656893,22.434941371209202,0.0,0.0,0.0,0.0,0.0,0.15040881829686992,0.0,0.0,0.0,0.0,0.0,0.007126016124389348,0.0003915061316855747,0.0,0.1073373491295212,0.07194302237308176,0.07543896812025971,1.1788887977600098,0.8570091426372528
choice_only_full_control,42,6,0.3874035675281261,22.462609646444417,0.0,0.0,0.0,0.0,0.0,0.15064261801478504,0.0,0.0,0.0,0.0,0.0,0.006385644335712786,0.00034505673436979886,0.0,0.10462481690625267,0.0885278360614218,0.06597802688262452,1.1809451580047607,0.8852901256084442
