condition,seed,epoch,epoch_choice_loss,epoch_rt_loss,epoch_soft_rt_penalty,epoch_history_penalty,epoch_history_supervision,epoch_per_trial_history,epoch_history_distillation,epoch_reward_prediction,epoch_drift_supervision,epoch_non_decision_supervision,epoch_drift_magnitude,epoch_wfpt_loss,epoch_twin_supervision,epoch_adaptive_control_regularization,epoch_evidence_preservation,history_teacher_alpha,mean_plastic_stay_tendency,mean_win_stay_tendency,mean_lose_stay_tendency,noise,mean_bound
choice_only_no_control,42,1,0.440591646755839,22.04510109653408,0.0,0.0,0.0,0.0,0.0,0.19899690375667237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12459671940697381,0.08389736487331438,1.0847622156143188,0.9289028930664063
choice_only_no_control,42,2,0.40263484044304454,22.415058592809793,0.0,0.0,0.0,0.0,0.0,0.15300923063727603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13584347465172972,0.13176117111075372,1.1236528158187866,0.8899155151844025
choice_only_no_control,42,3,0.3829994815164031,22.381665742749576,0.0,0.0,0.0,0.0,0.0,0.1521869058327196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09891918083364494,0.115654705645649,1.142311930656433,0.8372822916507721
choice_only_no_control,42,4,0.3782744494317466,22.465118431669335,0.0,0.0,0.0,0.0,0.0,0.1506053978366832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09580693425119671,0.09634963606940154,1.132133960723877,0.886386216878891
choice_only_no_control,42,5,0.37937599476660644,22.325309594500826,0.0,0.0,0.0,0.0,0.0,0.15018133932888258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08404344876752738,0.06274538414716471,1.1321262121200562,0.8960514807701111
choice_only_no_control,42,6,0.38365923354565845,22.301071219021555,0.0,0.0,0.0,0.0,0.0,0.14932472272834518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08586977108938923,0.0388019045456371,1.1456084251403809,0.880974395275116
choice_only_no_control,123,1,0.4534327435817679,22.026853886421254,0.0,0.0,0.0,0.0,0.0,0.2048982820126801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11078790490316796,0.06476502698528576,1.0862140655517578,1.0614718198776245
choice_only_no_control,123,2,0.39715823007427997,22.119793634207053,0.0,0.0,0.0,0.0,0.0,0.15624540548568988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13463845802276203,0.11135003004986871,1.1030349731445312,1.00837282538414
choice_only_no_control,123,3,0.38776605018262583,22.218700070183523,0.0,0.0,0.0,0.0,0.0,0.1514765539335157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11893544520668405,0.08751861738609969,1.1297624111175537,0.9501151072978974
choice_only_no_control,123,4,0.38258812448719054,22.312048876712637,0.0,0.0,0.0,0.0,0.0,0.1507300234645231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08602117834355542,0.08099616894100999,1.1312872171401978,0.953560973405838
choice_only_no_control,123,5,0.3875744119910017,22.242431266459338,0.0,0.0,0.0,0.0,0.0,0.15093595697447096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08698440015814793,0.05822043582235919,1.1468932628631592,0.9304083490371704
choice_only_no_control,123,6,0.38302293812630067,22.28950671730836,0.0,0.0,0.0,0.0,0.0,0.150462609711863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07343614336773441,0.054998918136418114,1.1618599891662598,0.926763676404953
