subject,lab,model,nll
CSH_ZAD_007,zadorlab,long_history,0.2914436844847643
CSH_ZAD_007,zadorlab,outcome_history,0.3176066471427825
CSP001,angelakilab,combined_evidence,0.3661788903201204
CSP001,angelakilab,combined_history,0.36577752439807887
CSP001,angelakilab,evidence_history,0.44816956120617496
CSP001,angelakilab,learning_evidence,0.4578259989982735
CSP001,angelakilab,learning_history,0.46042684618167273
CSP001,angelakilab,long_evidence,0.3677915413121569
CSP001,angelakilab,long_history,0.3679486333796333
CSP001,angelakilab,outcome_history,0.4503401124924158
CSP004,angelakilab,combined_evidence,0.37140503233221894
CSP004,angelakilab,combined_history,0.3723556191979031
CSP004,angelakilab,evidence_history,0.3751788692669541
CSP004,angelakilab,learning_evidence,0.3722102035982749
CSP004,angelakilab,learning_history,0.373968806477632
CSP004,angelakilab,long_evidence,0.3712859174451392
CSP004,angelakilab,long_history,0.3722753386376147
CSP004,angelakilab,outcome_history,0.3767154486814699
CSP012,angelakilab,combined_evidence,0.3920636619547097
CSP012,angelakilab,combined_history,0.39222818615856236
CSP012,angelakilab,evidence_history,0.42218171026674056
CSP012,angelakilab,learning_evidence,0.42641885746274477
CSP012,angelakilab,learning_history,0.4272805382726182
CSP012,angelakilab,long_evidence,0.3929946923195595
CSP012,angelakilab,long_history,0.3934362528792811
CSP012,angelakilab,outcome_history,0.42228420389796445
CSP013,angelakilab,combined_evidence,0.35954650066484223
CSP013,angelakilab,combined_history,0.3601699734295486
CSP013,angelakilab,evidence_history,0.41187549771406357
CSP013,angelakilab,learning_evidence,0.41320582544566026
CSP013,angelakilab,learning_history,0.4154656745036279
CSP013,angelakilab,long_evidence,0.36101090302382827
CSP013,angelakilab,long_history,0.3620516515329108
CSP013,angelakilab,outcome_history,0.4144281729997845
CSP015,angelakilab,combined_evidence,0.34135307049728275
CSP015,angelakilab,combined_history,0.34327136756114457
CSP015,angelakilab,evidence_history,0.3593374393297264
CSP015,angelakilab,learning_evidence,0.3468015455791995
CSP015,angelakilab,learning_history,0.3495502465329124
CSP015,angelakilab,long_evidence,0.34096855878242993
CSP015,angelakilab,long_history,0.34287534648585116
CSP015,angelakilab,outcome_history,0.3621820455325728
CSP028,angelakilab,combined_evidence,0.28387275034067266
CSP028,angelakilab,combined_history,0.2832479987008296
CSP028,angelakilab,evidence_history,0.3087976302909935
CSP028,angelakilab,learning_evidence,0.3051733177054219
CSP028,angelakilab,learning_history,0.30491191787257904
CSP028,angelakilab,long_evidence,0.2843503161442217
CSP028,angelakilab,long_history,0.28384694802723504
CSP028,angelakilab,outcome_history,0.30855071427135256
CSP029,angelakilab,combined_evidence,0.3204430488335447
CSP029,angelakilab,combined_history,0.320416683672142
CSP029,angelakilab,evidence_history,0.32741140961017023
CSP029,angelakilab,learning_evidence,0.32926892914051653
CSP029,angelakilab,learning_history,0.32870025960356614
CSP029,angelakilab,long_evidence,0.3204260945749605
CSP029,angelakilab,long_history,0.32042744444905336
CSP029,angelakilab,outcome_history,0.3259886227896641
DY_006,danlab,combined_evidence,0.5463366967673905
DY_006,danlab,combined_history,0.5510591754620586
DY_006,danlab,evidence_history,0.5485676303888185
DY_006,danlab,learning_evidence,0.5569965672128634
DY_006,danlab,learning_history,0.5642439072917913
DY_006,danlab,long_evidence,0.5467709284165537
DY_006,danlab,long_history,0.5521376971842433
DY_006,danlab,outcome_history,0.5553959352428308
DY_009,danlab,combined_evidence,0.2916617428494899
DY_009,danlab,combined_history,0.2937654139313519
DY_009,danlab,evidence_history,0.32937712376626194
DY_009,danlab,learning_evidence,0.3213152911288852
DY_009,danlab,learning_history,0.32618298707697035
DY_009,danlab,long_evidence,0.2927764452345188
DY_009,danlab,long_history,0.29528694438127245
DY_009,danlab,outcome_history,0.33425190287416956
DY_010,danlab,combined_evidence,0.26120005754609044
DY_010,danlab,combined_history,0.260553171886556
DY_010,danlab,evidence_history,0.29794142148572966
DY_010,danlab,learning_evidence,0.28705056560180675
DY_010,danlab,learning_history,0.28656986805543877
