subject,model,seed,epoch,choice_nll,rt_squared_error_seconds
ZFM-04122,choice_only_no_control,123,2,0.5117787639105991,37.00919820716247
ZFM-04122,choice_only_no_control,123,4,0.5030729819088621,37.26520607687091
ZFM-04122,choice_only_no_control,123,6,0.4642046957799687,37.72285722333936
ZFM-04122,simple_history,-1,0,0.5261858644196933,30.656111725359576
ZM_1898,choice_only_full_control,42,2,0.4358759825140732,12.17576092434804
ZM_1898,choice_only_full_control,42,4,0.4136593262563928,12.119499915930293
ZM_1898,choice_only_full_control,42,6,0.41901116002650207,12.137438237068324
ZM_1898,choice_only_full_control,123,2,0.4572815779124303,12.18045285116622
ZM_1898,choice_only_full_control,123,4,0.434539534501778,12.123601720946727
ZM_1898,choice_only_full_control,123,6,0.4178337402664839,12.172094959967911
ZM_1898,choice_only_no_control,42,2,0.4489483603378568,12.054102902745065
ZM_1898,choice_only_no_control,42,4,0.4111606210367706,11.996037801527251
ZM_1898,choice_only_no_control,42,6,0.4262094171539657,12.061186750385078
ZM_1898,choice_only_no_control,123,2,0.4378573663098926,12.028542295600595
ZM_1898,choice_only_no_control,123,4,0.4257872679377596,12.030004961452477
ZM_1898,choice_only_no_control,123,6,0.41889282651431253,12.11615461588682
ZM_1898,simple_history,-1,0,0.45844611548136854,12.405446840593541
