subject,model,seed,epoch,choice_nll,rt_squared_error_seconds
CSHL053,choice_only_full_control,42,2,0.3110031701069866,0.9366788066092446
CSHL053,choice_only_full_control,42,4,0.313226627108893,0.9415675469319239
CSHL053,choice_only_full_control,42,6,0.3133675195673052,0.9430760355231087
CSHL053,choice_only_full_control,123,2,0.3091255342103138,0.9291546625453394
CSHL053,choice_only_full_control,123,4,0.310274170475187,0.9271208567738882
CSHL053,choice_only_full_control,123,6,0.3202368654327555,0.9403809561594221
CSHL053,raw_full_control,42,2,0.32041451546236716,0.9928754446724428
CSHL053,raw_full_control,42,4,0.31912095197196694,1.0463771934115687
CSHL053,raw_full_control,42,6,0.309415237398203,0.9532564943895279
CSHL053,raw_full_control,123,2,0.324039348096618,1.1114796543742973
CSHL053,raw_full_control,123,4,0.3146464677160388,1.019987058907883
CSHL053,raw_full_control,123,6,0.318811814663137,1.0020611352143844
CSHL053,raw_no_control,42,2,0.33233638870632776,1.0043786530210026
CSHL053,raw_no_control,42,4,0.3315258019402832,1.0445791505503659
CSHL053,raw_no_control,42,6,0.31004983229260125,0.9420314986424866
CSHL053,raw_no_control,123,2,0.33568059696761854,1.1099539184341303
CSHL053,raw_no_control,123,4,0.3190833209430334,1.0045704920223448
CSHL053,raw_no_control,123,6,0.31675511513757326,0.9558661288711675
CSHL053,simple_history,-1,0,0.3367743229334823,1.875261484145871
CSH_ZAD_005,choice_only_full_control,42,2,0.5996241698029774,0.7442235266872637
CSH_ZAD_005,choice_only_full_control,42,4,0.5777587527013619,0.7506772274632757
CSH_ZAD_005,choice_only_full_control,42,6,0.5790136982418812,0.7510800276288377
CSH_ZAD_005,choice_only_full_control,123,2,0.6245059838589303,0.7450152698909976
CSH_ZAD_005,choice_only_full_control,123,4,0.5980263588566994,0.7395068075480489
CSH_ZAD_005,choice_only_full_control,123,6,0.5774727481020628,0.7414551715891545
CSH_ZAD_005,raw_full_control,42,2,0.6807476680865533,0.8590915605239886
CSH_ZAD_005,raw_full_control,42,4,0.6564926118543292,0.9031843449882236
CSH_ZAD_005,raw_full_control,42,6,0.6397605957474406,0.8040224596748979
CSH_ZAD_005,raw_full_control,123,2,0.6722590895148187,0.9622529810315775
CSH_ZAD_005,raw_full_control,123,4,0.6475980194822927,0.8809743704851112
CSH_ZAD_005,raw_full_control,123,6,0.6074467654270287,0.8386138857165936
CSH_ZAD_005,raw_no_control,42,2,0.7105817005700288,0.8984341030904871
CSH_ZAD_005,raw_no_control,42,4,0.6792663501814532,0.9098342673143196
CSH_ZAD_005,raw_no_control,42,6,0.6370581998372238,0.8018629385940044
CSH_ZAD_005,raw_no_control,123,2,0.7162564760962756,1.0118629730186166
CSH_ZAD_005,raw_no_control,123,4,0.6674130339121517,0.8907266525572916
CSH_ZAD_005,raw_no_control,123,6,0.602664498698002,0.8208422419096881
CSH_ZAD_005,simple_history,-1,0,0.5791312095389662,1.7628610089349626
IBL-T4,choice_only_full_control,42,2,0.3283889207973379,23.893311202729976
IBL-T4,choice_only_full_control,42,4,0.3414363752286071,23.96665835181372
IBL-T4,choice_only_full_control,42,6,0.31624918142431735,23.962087734714597
IBL-T4,choice_only_full_control,123,2,0.33658710079013376,23.65542889845605
IBL-T4,choice_only_full_control,123,4,0.3280399095952834,23.770194024408294
IBL-T4,choice_only_full_control,123,6,0.3128459158469553,23.905814106382966
IBL-T4,raw_full_control,42,2,0.3968650791720866,23.42019557373323
IBL-T4,raw_full_control,42,4,0.41323510801193125,23.362234910609555
IBL-T4,raw_full_control,42,6,0.32079417034101,23.279749154288165
IBL-T4,raw_full_control,123,2,0.41633465254144764,23.401762053064935
IBL-T4,raw_full_control,123,4,0.3445715471739123,23.21769249926817
IBL-T4,raw_full_control,123,6,0.3468716114638244,23.29495763393179
IBL-T4,raw_no_control,42,2,0.459873171789738,23.52120611693807
IBL-T4,raw_no_control,42,4,0.457821051437384,23.50337414098343
IBL-T4,raw_no_control,42,6,0.32072970533509765,23.349000299435335
IBL-T4,raw_no_control,123,2,0.4318353445904069,23.44956720875942
IBL-T4,raw_no_control,123,4,0.3309726027751287,23.244379357816356
IBL-T4,raw_no_control,123,6,0.3405231655323373,23.42370368255751
IBL-T4,simple_history,-1,0,0.36274764579749713,22.39262267884671
NYU-12,choice_only_full_control,42,2,0.4673158508421503,1.9478807350093446
NYU-12,choice_only_full_control,42,4,0.45860950757350594,1.9558191529110303
NYU-12,choice_only_full_control,42,6,0.45540997621605817,1.9672564800718289
NYU-12,choice_only_full_control,123,2,0.480621468635728,1.8954114736437546
NYU-12,choice_only_full_control,123,4,0.4629885451150438,1.9141019649895514
NYU-12,choice_only_full_control,123,6,0.45459645006831617,1.949478318292431
NYU-12,raw_full_control,42,2,0.5169746147018159,1.886909171214302
NYU-12,raw_full_control,42,4,0.5118493536409333,1.8986463026813534
NYU-12,raw_full_control,42,6,0.48171189523423474,1.8720678291725275
NYU-12,raw_full_control,123,2,0.5244799696454531,1.9345447176523363
NYU-12,raw_full_control,123,4,0.4943463820485897,1.8916309021728541
NYU-12,raw_full_control,123,6,0.48276494285778404,1.8725832675623226
NYU-12,raw_no_control,42,2,0.5130726717085825,1.8923756418890438
NYU-12,raw_no_control,42,4,0.5004506514634306,1.9090425769453576
NYU-12,raw_no_control,42,6,0.4645611764610373,1.8757821283523917
NYU-12,raw_no_control,123,2,0.506287092638007,1.972333053240356
NYU-12,raw_no_control,123,4,0.4750976809015301,1.9118451812921702
NYU-12,raw_no_control,123,6,0.468376154960229,1.8911493417270304
NYU-12,simple_history,-1,0,0.4502619457147999,2.8055486275830344
SH020,choice_only_full_control,42,2,0.318925662193945,6.547643231022831
SH020,choice_only_full_control,42,4,0.31641278028612263,6.5732795178640275
SH020,choice_only_full_control,42,6,0.310813269308649,6.581446608494008
SH020,choice_only_full_control,123,2,0.31662035926619064,6.433687586291337
SH020,choice_only_full_control,123,4,0.31116841800830997,6.489684807762577
SH020,choice_only_full_control,123,6,0.31958206761783864,6.564335041390095
SH020,raw_full_control,42,2,0.32467250565945954,6.315216719616166
SH020,raw_full_control,42,4,0.3243367567820989,6.331789235310008
SH020,raw_full_control,42,6,0.311001585186855,6.33173102789883
SH020,raw_full_control,123,2,0.33088814133485095,6.367521406109712
SH020,raw_full_control,123,4,0.3167750150795434,6.282167047214463
SH020,raw_full_control,123,6,0.32163782740155517,6.311220492866738
SH020,raw_no_control,42,2,0.3278322094976518,6.342523385943509
SH020,raw_no_control,42,4,0.3272970988574008,6.34970852910381
SH020,raw_no_control,42,6,0.303792932803418,6.348053197184673
SH020,raw_no_control,123,2,0.33226861790825574,6.384349419327225
SH020,raw_no_control,123,4,0.3149966765734862,6.309970741348222
SH020,raw_no_control,123,6,0.3099791619503863,6.23443062282783
SH020,simple_history,-1,0,0.3218592697623706,6.823105702876738
